lat,lon,alt
19.149,-99.233,2240
19.149,-99.224,2240
19.149,-99.215,2240
19.149,-99.206,2240
19.149,-99.197,2240
19.149,-99.188,2240
19.149,-99.179,2240
19.149,-99.17,2240
19.149,-99.161,2240
19.149,-99.152,2240
19.149,-99.143,2240
19.149,-99.134,2240
19.149,-99.125,2240
19.149,-99.116,2240
19.149,-99.107,2240
19.149,-99.098,2240
19.149,-99.089,2240
19.149,-99.08,2240
19.149,-99.071,2240
19.149,-99.062,2240
19.149,-99.053,2240
19.149,-99.044,2240
19.149,-99.035,2240
19.149,-99.026,2240
19.149,-99.017,2240
19.149,-99.008,2240
19.149,-98.999,2240
19.149,-98.99,2240
19.149,-98.981,2240
19.149,-98.972,2240
19.149,-98.963,2240
19.149,-98.954,2240
19.149,-98.945,2240
19.149,-98.936,2240
19.149,-98.927,2240
19.149,-98.918,2240
19.149,-98.909,2240
19.158,-99.35,2240
19.158,-99.341,2240
19.158,-99.332,2240
19.158,-99.323,2240
19.158,-99.314,2240
19.158,-99.305,2240
19.158,-99.296,2240
19.158,-99.287,2240
19.158,-99.278,2240
19.158,-99.269,2240
19.158,-99.26,2240
19.158,-99.251,2240
19.158,-99.242,2240
19.158,-99.233,2240
19.158,-99.224,2240
19.158,-99.215,2240
19.158,-99.206,2240
19.158,-99.197,2240
19.158,-99.188,2240
19.158,-99.179,2240
19.158,-99.17,2240
19.158,-99.161,2240
19.158,-99.152,2240
19.158,-99.143,2240
19.158,-99.134,2240
19.158,-99.125,2240
19.158,-99.116,2240
19.158,-99.107,2240
19.158,-99.098,2240
19.158,-99.089,2240
19.158,-99.08,2240
19.158,-99.071,2240
19.158,-99.062,2240
19.158,-99.053,2240
19.158,-99.044,2240
19.158,-99.035,2240
19.158,-99.026,2240
19.158,-99.017,2240
19.158,-99.008,2240
19.158,-98.999,2240
19.158,-98.99,2240
19.158,-98.981,2240
19.158,-98.972,2240
19.158,-98.963,2240
19.158,-98.954,2240
19.158,-98.945,2240
19.158,-98.936,2240
19.158,-98.927,2240
19.158,-98.918,2240
19.158,-98.909,2240
19.167,-99.35,2240
19.167,-99.341,2240
19.167,-99.332,2240
19.167,-99.323,2240
19.167,-99.314,2240
19.167,-99.305,2240
19.167,-99.296,2240
19.167,-99.287,2240
19.167,-99.278,2240
19.167,-99.269,2240
19.167,-99.26,2240
19.167,-99.251,2240
19.167,-99.242,2240
19.167,-99.233,2240
19.167,-99.224,2240
19.167,-99.215,2240
19.167,-99.206,2240
19.167,-99.197,2240
19.167,-99.188,2240
19.167,-99.179,2240
19.167,-99.17,2240
19.167,-99.161,2240
19.167,-99.152,2240
19.167,-99.143,2240
19.167,-99.134,2240
19.167,-99.125,2240
19.167,-99.116,2240
19.167,-99.107,2240
19.167,-99.098,2240
19.167,-99.089,2240
19.167,-99.08,2240
19.167,-99.071,2240
19.167,-99.062,2240
19.167,-99.053,2240
19.167,-99.044,2240
19.167,-99.035,2240
19.167,-99.026,2240
19.167,-99.017,2240
19.167,-99.008,2240
19.167,-98.999,2240
19.167,-98.99,2240
19.167,-98.981,2240
19.167,-98.972,2240
19.167,-98.963,2240
19.167,-98.954,2240
19.167,-98.945,2240
19.167,-98.936,2240
19.167,-98.927,2240
19.167,-98.918,2240
19.167,-98.909,2240
19.176,-99.35,2240
19.176,-99.341,2240
19.176,-99.332,2240
19.176,-99.323,2240
19.176,-99.314,2240
19.176,-99.305,2240
19.176,-99.296,2240
19.176,-99.287,2240
19.176,-99.278,2240
19.176,-99.269,2240
19.176,-99.26,2240
19.176,-99.251,2240
19.176,-99.242,2240
19.176,-99.233,2240
19.176,-99.224,2240
19.176,-99.215,2240
19.176,-99.206,2240
19.176,-99.197,2240
19.176,-99.188,2240
19.176,-99.179,2240
19.176,-99.17,2240
19.176,-99.161,2240
19.176,-99.152,2240
19.176,-99.143,2240
19.176,-99.134,2240
19.176,-99.125,2240
19.176,-99.116,2240
19.176,-99.107,2240
19.176,-99.098,2240
19.176,-99.089,2240
19.176,-99.08,2240
19.176,-99.071,2240
19.176,-99.062,2240
19.176,-99.053,2240
19.176,-99.044,2240
19.176,-99.035,2240
19.176,-99.026,2240
19.176,-99.017,2240
19.176,-99.008,2240
19.176,-98.999,2240
19.176,-98.99,2240
19.176,-98.981,2240
19.176,-98.972,2240
19.176,-98.963,2240
19.176,-98.954,2240
19.176,-98.945,2240
19.176,-98.936,2240
19.176,-98.927,2240
19.176,-98.918,2240
19.176,-98.909,2240
19.185,-99.35,2240
19.185,-99.341,2240
19.185,-99.332,2240
19.185,-99.323,2240
19.185,-99.314,2240
19.185,-99.305,2240
19.185,-99.296,2240
19.185,-99.287,2240
19.185,-99.278,2240
19.185,-99.269,2240
19.185,-99.26,2240
19.185,-99.251,2240
19.185,-99.242,2240
19.185,-99.233,2240
19.185,-99.224,2240
19.185,-99.215,2240
19.185,-99.206,2240
19.185,-99.197,2240
19.185,-99.188,2240
19.185,-99.179,2240
19.185,-99.17,2240
19.185,-99.161,2240
19.185,-99.152,2240
19.185,-99.143,2240
19.185,-99.134,2240
19.185,-99.125,2240
19.185,-99.116,2240
19.185,-99.107,2240
